context	label	split
…Star, Legend, and, ultimately Icon statuses, which are based on the number of years in the community, number of awards or trophies amassed, recognition within a particular category, and the number of balls participated in through the years<CITED HERE>13; personal communication with POSSE CAB).	background	train
…species with a male or a female heterogametic sex determination system (i.e. an XX/XY or ZZ/ZW system, respectively), individuals of the heterogametic sex possess sexspecific genomic regions for which sex-specific molecular genetic markers can be developed (Gamble 2016; <CITED HERE>).	background	train
The striatum consists of two parallel motor circuits that have antagonistic effects on motor behavior, direct pathway neurons activated through D1 receptors that facilitate motor behaviors and indirect pathway neurons inhibited by D2 receptor activity that prevent motor cortex activity <CITED HERE>.	background	train
In accordance with our results, the exogenous application of BRs has been shown to lead inhibition of root growth (Schumacher and Chory 2000), which was also previously reported for Arabidopsis (<CITED HERE>) and tomato (Dhaubhadel et al. 1999).	result	train
"The reference methods we considered in the com-
parative study include the following:
• Hierarchical Dirichlet process, denoted as HDP (Goldwater et al., 2009);
• Nested Pitman-Yor process, denoted as NPY (Mochihashi et al., 2009);
• Adaptor grammars, denoted as AG (Johnson and Goldwater, 2009);
• Branching entropy + MDL, denoted as EntMDL (Zhikov et al., 2010);
• Bootstrap voting experts + MDL,<CITED HERE>d as BVE-MDL (Hewlett and Cohen, 2011);
• Description length gain, denoted as DLG (Zhao and Kit, 2008)."	method	val
Large (23 S-like) and small (16 S-like) ribosomal subunit RNA sequences were obtained from the Antwerp database and the Ribosomal Database Project (<CITED HERE>; van de Peer et al., 1997a,b).	method	train
For this we employ QVTo, an Eclipse integration of the QVT Operational Mappings model transformation standard [18], <CITED HERE> as an external model checker, and EMF Compare [6] to compare arbitrary EMF models.	method	train
The performance of this method is carried out by examining the Signal to Noise Ratio (SNR) <CITED HERE>.	method	train
However, the inclusion of a reducing agent enabled rapid and complete reconstitution of ADA <CITED HERE> but not LigY.	background	train
Similarly, we have recently found that coculture of pulmonary arterial ECs (PAECs) with pulmonary arterial SMCs (PASMCs) results in formation of myoendothelial gap junctions, which induce activation of TGF- signaling and differentiation of the PASMCs toward a contractile phenotype <CITED HERE>.	background	train
After having estimated the TVAR for a given lag of the threshold variable, we perform a sup-LR test <CITED HERE>, in order to check the robustness of the results provided by the Tsay tests as to possible small-sample biases.	method	train
The stronger association observed between BMI and TBF than between BMI and PBF is consistent with several previous investigations <CITED HERE>.	result	train
In contrast, <CITED HERE> observed that except for some genes such as homeobox genes, methylation patterns were maintained throughout long-term culture of BM-MSCs, showing different results than those in our present study.	result	train
On the other hand, SRC activation by BCAR3 <CITED HERE> has been recently shown to promote phosphorylation of the Tyr-789 motif of PTP , a receptor-type phosphatase that can potentiate SRC activation by dephosphorylating its inhibitory Tyr-527 phosphorylation site (37).	method	train
…been shown to be required for furrow ingression, and membrane-marking experiments have indicated regions where directed membrane addition is likely to occur (<CITED HERE>; Sisson et al., 2000; Pelissier et al., 2003; Riggs et al., 2003; Fabrowski et al., 2013; Figard et al., 2013).	background	train
Most of the breast cancer survivors reported changes in the cognitive domains of short and long term memory, processing speed, attention, concentration, language, verbal memory and executive functioning <CITED HERE>.	background	train
Much is known about LH signaling at the somatic cell level (Richards et al., 2002; <CITED HERE>; Conti et al., 2006).	background	train
The report by <CITED HERE>listed age at onset of schizophrenia (AAO) in thirteen northern hemisphere cities.	background	train
From our perspective, it seems the current results, along with those of Pascalis and others (Pascalis et al., 2002; <CITED HERE>), are equally consistent within a framework of perceptual learning.	result	train
This result is highly relevant, as fluid movement has been implicated in nutrient transport and mechanotransduction and may be fundamentally important in the behavior of fascicles in normal tissues <CITED HERE>.	background	train
We used longitudinal sequence samples for 15 patients from two independent studies <CITED HERE>.	method	train
These findings are consistent with previously reported studies that have attributed decreased Na-K-ATPase activity in hypothyroidism to a selective decrement in the -subunit of Na-K-ATPase <CITED HERE>.	background	train
Other PROs included the Functional Assessment of Chronic Illness Therapy–Fatigue (FACIT-F) scale [24]; morning stiffness, measured by its severity on a 0-mm (no problem) to 100-mm (major problem) VAS <CITED HERE>; the Rheumatoid Arthritis Impact of Disease (RAID) questionnaire [26]; and the RA-specific Work Productivity Survey (WPS-RA) [27].	background	train
[Ca(21)]i was measured as described previously <CITED HERE>, with a slight modification for humans.	method	train
GATA-binding factors are both positive and negative regulators of vitellogenesis <CITED HERE>, and discernible mRNA accumulation patterns are associated with distinct members of the GATA-motif family.	background	train
More recent examples for maize include Labate et al. (1999) and Coque and Gallais (2006) for yield selection, and <CITED HERE> for disease resistance, while De Koeyer et al. (2001) examined yield in oats.	background	val
Immunoblotting using primary antibodies for anti-eNOS (BD Biosciences), anti-phospho-eNOS Thr495 (Cell Signaling), anti-phosphoeNOS Ser1177 (Millipore), anti-eNOS (BD Transduction Laboratories), anti-RhoA (Abcam), and anti-b-actin (Sigma) was performed as described previously, following a 1 h incubation with IL-17 (mouse rIL-17A, 1 mg/mL; eBioscience).<CITED HERE> Immunoblotting was also performed for these proteins in IL17-treated cells following co-treatment with an IL-17 neutralizing antibody (20 ng/mL for 30 min; BioLegend), the protein kinase C (PKC) inhibitor Gö6976 (1 mmol/L for 30 min; Sigma), the Rho-kinase inhibitor Y-27632 (50 mmol/L for 30 min; Cayman Chemical Co.	background	train
Our results are in agreement with those from others, who showed that a few specialized colons are responsible for the majority of S. aureus mastitis cases (Kapur et al., 1995; <CITED HERE>; Mork et al., 2005).	result	train
"When there are internally generated gamma rhythms, the stimulus with the largest magnitude is represented by the downstream population with a high probability; this result is similar to the previous
results (<CITED HERE>5)."	result	train
However, other studies in RA patients have not found a correlation between the SE and PD or Pg antibodies <CITED HERE>.	background	train
In the last 5 years, it has been published as the most comprehensive study on the distribution of PLCb1 in the mouse brain, showing that it is highly expressed in the somatodendritic compartment of principal neurons of the telencephalon (<CITED HERE>).	background	train
"The findings from the experimental studies considered (Von der Behrens et al., 2009; <CITED HERE>; Malmierca et al., 2009; Ulanovsky et al., 2004, 2003) vary in
respect to their details but nevertheless appear to reveal a set of common relations between these basic parameters and the SI."	background	train
InFO is designed as a set of ontology design patterns <CITED HERE>, which are described in Section 3.	method	train
The histologic results are in conformity with those previously reported by several authors (<CITED HERE>; Viranuvatti and Stitnimankarn 1972; Bhamaraprarah et al. 1978; reviews in Schwartz 1980 and Flavell 1981; Riganti et al. 1989).	result	train
Therefore, single-channel and the whole cell patch-clamp experiments confirmed the previous reports that ANG II stimulates ENaC by an aldosterone-independent and <CITED HERE>-dependent mechanism (6, 33).	result	train
…of the insect brain such as the central complex with its proven key role in sensory/motor coordination (Strauss 2002; Heinze and Homberg 2007; <CITED HERE>) and spatial memory and orientation (Liu et al. 2006; Neuser et al. 2008) are built according to an elaborate molecular program whose…	background	val
2015), thereby contributing to a comprehensive understanding of the biology of sexually reproducing organisms (<CITED HERE>).	background	train
For sentence-level similarity, Ji and Eisenstein <CITED HERE> apply data-driven approach for weighting the features for paraphrase classification task.	method	train
Previous studies of the chronic intoxication with cylindrospermopsin [41] or MCs have shown proliferation of connective tissue and dilatation of tubules and glomeruli <CITED HERE> filled with proteinaceous material.	background	val
In contrast, the pro-hypertrophic effects of the prototypical paracrine FGF family member, FGF2, were blocked by inhibitors of the Ras/MAPK cascade (<CITED HERE>).	background	train
Correct control of DNA methylation is vital to normal cellular function, and DNA methylation dysfunction has been linked to a number of human pathologies <CITED HERE>, including complex neuropsychiatric phenotypes such as schizophrenia and bipolar disorder [20].	background	train
, 1998), and it was then found that their impaired system initiates narcoleptic symptoms <CITED HERE>.	background	val
In particular, mesenchymal fibroblast growth factor–10 (34), endodermally derived fibroblast growth factor receptor–2 <CITED HERE>, sonic hedgehog (SHH)/GLI 2,3 (36), and retinoic acid receptors (37) each play important roles during early tracheal–pulmonary morphogenesis.	background	train
, 2006) and Bombyx mori <CITED HERE> and are involved in programmed cell death during metamorphosis.	background	train
"<CITED HERE> found expressions for the fundamental (F0) and first harmonic (F1) of the vibrational modes in Hertz to be
F0 4U2 C2 25 2 16 2C 2 R, 3 and
F1 4U2 C2 81 2 16 2C 2 R, 4 where C is the speed of sound in meters per second (a value of 330 m s 1 is used in making the estimates below), U…"	background	train
Based on these findings, the antagonistic activities between Nodal and BMP signaling are at least in part due to the formation of signaling-inactive Nodal (or Xnr3) -BMP heterodimers (<CITED HERE>; Yeo and Whitman, 2001).	background	train
To find neighboring genes on the genome, a custom track for the ‘374 Gene Set’ was generated and analyzed with the UCSC Genome Browser <CITED HERE>.	method	train
The cells, grown on 25-mm coverslips, were loaded with rhodamine 123 (R123, Molecular Probes) by incubation with 10 mg/ml for 30 min at 37°C <CITED HERE>.	method	train
Both from our laboratory and studies from other investigators demonstrated that clinical radiotherapy resulted in predominant activation of NFκB in surviving tumor cells including breast cancer cells <CITED HERE>.	result	train
16S rRNA Gene Sequencing The 16S rRNA gene was sequenced for a random subset of 323 of the 459 isolates as described previously <CITED HERE> (plot 1, n=146; plot 2N, n=51, plot 3, n=39; plot 4N, n= 27; plot 5, n= 42; plot 6N, n=18).	background	train
Oxidized graphene nanomaterials were demonstrated to be able to serve as efficient carrier systems for the targeted delivery of chemical drugs <CITED HERE> and biomolecules including proteins, DNA and siRNA [23-26] Furthermore, the potential of GO for biosensing [27,28] and bioimaging applications is being explored [29-32].	background	train
We examined WC and WHR as measures of central adiposity, due to recent evidence suggesting that central fat may be superior to BMI in estimating the etiologic role of excess fat in CRC <CITED HERE>.	background	train
, 2006) and the circadian expression of heart mPai-1 was completely abolished in Clockmutant mice <CITED HERE>, these results suggest that the distal mPai-1 E-box identified here is a target for GC action and may contribute to the synchronization of Pai-1 by DEX in vivo.	background	train
For this dataset we considered a linear kernel computed on a set of biologically inspired features <CITED HERE> as well as the Gaussian kernel on the same features.	method	train
Recently, researchers have utilized novel distributed hash table (DHT) techniques to build virtual structures on overlay networks by mapping nodes to a specific structure be it a CHORD [12] or a coordinate space <CITED HERE>.	background	val
It involves progressive fibrous and fatty replacement of myocardium in the inflow, apical and outflow portions of the right ventricle, resulting in ventricular tachycardia with incurrent risk of sudden death and in a proportion of cases, progressive RV dysfunction <CITED HERE>.	background	train
These results extend bivariate findings from a previous study showing a significant association between multidisciplinary services and reduction of mistreatment risk in cases of elder mistreatment (<CITED HERE>).	result	train
The area under the curve represents the probability that the logistic regression model will rank a randomly chosen positive instance (i.e., an error) higher than a randomly chosen negative instance (i.e., nonerror; Fawcett, 2006; <CITED HERE>).	background	train
For metabolite assays, capillary blood ( 60 ll) was collected and treated according to methods described previously <CITED HERE>.	method	val
Data analysis Data from <CITED HERE> showed a mean difference between passive SLR and SLR/DF ranges of 10 degrees with a standard deviation of 5 degrees.	method	val
Peripheral nerve disease is a chronic complication of human and experimental diabetes <CITED HERE> that may confound observational or quantitative measurements of evoked motor responses.	background	train
FGFR4 Blockade Attenuates LVH in the 5/6 Nephrectomy Rat Model of CKD We tested the therapeutic potential of interfering with cardiac FGF23-FGFR4 signaling in the 5/6 nephrectomy rat model of CKD that develops increased FGF23 levels, severe hypertension, and LVH within 14 days after nephrectomy <CITED HERE>.	background	train
Neurodevelopmental outcome was assessed at 24 months using the Revised Griffith’s scales of Mental Development <CITED HERE>.	method	train
"…allowing the device to include a range of features (e.g. digital compasses, accelerometers, gyroscopes and light meters), to act as global positioning (GPS) receivers, and to run software that processes geospatial information in ways
comparable to more expensive computing devices (<CITED HERE>)."	method	train
In addition, sequences homologous to the cao-2 (Saelices et al. 2007) and ylo-1 (Estrada et al. 2008) genes for the Wnal steps to neurosporene are present in the sequenced genome from P. anserina (<CITED HERE>).	background	val
On the morning of the infusion day, catheters were placed percutaneously into one tail vein and one tail artery under local lidocaine anaesthesia <CITED HERE>, and the tail was then secured as described above.	method	train
CRISPs are single-polypeptide proteins with molecular weights of ;20 to 30 kDa (<CITED HERE>) and are known to have a high degree of amino acid sequence similarity and a highly conserved specific pattern of 16 cysteine residues.	background	train
For all in vivo measurements of protein synthesis with SUnSET (<CITED HERE>), puromycin solution was prepared by diluting the appropriate volume of the stock solution that was needed to inject micewith 0.04 µmol/g body weight in 200 µl of PBS, and subsequently administered into the animals…	method	train
In the context of stream joins, this is usually done by selectively dropping some of the input tuples or selectively processing only a subset of the join windows <CITED HERE>.	method	train
26 Finally, <CITED HERE>provide support for their assumption of static demand using data on purchases and a consumer survey in the residential solar market in Connecticut, in the United States.	background	train
In addition, the MMSE [16], the Geriatric Depression Scale (GDS) [35] and Spielberger’s State-Trait Anxiety Inventory <CITED HERE> were administered to assess mental state.	method	train
4.2 the COLD-Saarb dataset is concisely described, while detailed information can be found in (<CITED HERE>).	background	train
Surface staining for flow cytometry was performed by standard techniques (<CITED HERE>) and the following clones: CD4 (RM4-5), CD45.	method	train
The importance of Lcarnitine in improving oocyte quality and reproductive performance has been demonstrated in animal and human studies <CITED HERE>.	background	train
persistence of previously unknown parasite strains in populations that are severely affected by HIV-1 <CITED HERE>.	background	train
Based upon this review of slides, cases were assembled into three case-series representing progressively more stringent de®nitions of OED, the most restrictive of which required that both blinded pathologists diagnose the case as having OED <CITED HERE>.	method	train
…0.1-1 µg/ml IgG) followed by fluorescent secondary antibody, both diluted in 4% BSA in TBST. α-Tubulin was detected with mouse monoclonal DM1α (Sigma Chemical Co, St Louis, MO). p60 katanin was detected with an affinity-purified anti-human p60 rabbit polyclonal antib<CITED HERE> 1998).	method	train
For amplification of over 500 bp of rpoB, primers (rpobF, rpoBR, rpoBF2 and rpoBR2) and PCR cycling conditions described by <CITED HERE> were used.	method	train
A poor performance on the FCSRT has also shown a high correlation with atrophy in the medial temporal lobe (Sánchez-Benavides et al., 2010; <CITED HERE>), and was significantly associated with cerebrospinal fluid ADbiomarkers (Rami et al., 2011; Wagner et al., 2012).	background	val
The SUM1315 cell line was purchased from Asterand (Detroit, MI, USA) in 2009 and cultured as in <CITED HERE> from freeze downs from 2009.	method	train
"‚Ä¶eVects of gravity
 The results of this experiment are consistent with the hypothesis that human observers apply a simpliWed model of gravity when predicting the vertical movements of an object (McIntyre et al. 2001; Senot et al. 2005; Zago and Lacquaniti 200<CITED HERE>009)."	result	train
A few years ago, a kinetic model was proposed for the glucosidase II alpha subunit <CITED HERE>.	background	train
Maxout MLP has previously been proven as a universal approximator <CITED HERE>, wherein a maxout unit is implemented by the following function:	background	train
We choose InferSent because it performed competitively with the best-scoring systems on the Stanford Natural Language Inference (SNLI) dataset (<CITED HERE>), while being representative of the types of neural architectures commonly used for NLI tasks.	method	train
EF was assessed using the Behavior Rating of Executive Function – SelfReport (BRIEF-SR; Guy et al. 2004), the Wisconsin Card Sorting Test Computerized Version 4 (WCST-CV4), and five computerized tasks: Go/No-Go, Anti-Saccade Arrows Task, Task Switching, th<CITED HERE>ng (Friedman and Miyake 2004; Nigg 2000; Rogers and Monsell 1995).	method	train
Different mechanisms of resistance to CDDP have been described, including reduced intracellular accumulation of CDDP; increased detoxification of CDDP by the thiols, glutathione and metallothionein; increased DNA-repair activity; and increased tolerance to DNA damage <CITED HERE>.	background	val
Either explanation (DIR1 dimers or DIR1-protein complexes) fits with the appearance of trypsin-sensitive high molecular weight fractions in dehydroabietinal-elicited SAR observed by <CITED HERE>.	background	train
Similar results were reported by Lima et al. (2011) when using fruit extracts, and by <CITED HERE>1), when using extracts from recalcitrant seeds of the palm tree Bactris gasipaes.	result	train
The type species, Aedes aegypti densonucleosisvirus (AaeDNV) genome encodes two overlapping ORFs the nonstructural proteins, NS1 and NS2 (<CITED HERE>).	background	train
We computed texture features that have been shown in previous studies with mammograms to distinguish the parenchymal patterns of women at different risk levels <CITED HERE>.	method	train
Our fieldwork included hands-on participation in maker projects, drawing from methods such as research through design and critical making <CITED HERE>.	method	train
While azoospermia is common in males with isodicentric Y chromosome, our understanding of the cause of spermatogenic failure is clear only for those idic Yp patients with breakpoints that occur along the Yq and typically result in AZF deletion and/or recombination <CITED HERE>.	background	train
Our results are also consistent with those of recent studies of how experimentally conditioned aversive stimuli inhibit instrumental approach behavior (Geurts et al., 2013; Huys et al., 2011), which have been modeled as competing valuation systems in RL models (<CITED HERE> et al., 2006; Guitart-Masip et al., 2012, 2014; Huys et al., 2011).	result	train
In this paper, the RP of LC is obtained by using the calculation method given in our published manuscripts <CITED HERE>.	method	train
In that study, they concluded that the error probability of each option was dependent on its position in the interface (the same conclusions were obtained in <CITED HERE>9).	method	train
For bladder cancer, clinical studies yielded conflicting results on the cancer prevention effects of statins in patients with bladder cancer <CITED HERE>.	result	train
…NMJ is regulated by factors intrinsic to the motor neuron, including proteins that regulate intracellular signaling, as well as retrograde signals that convey postsynaptic activity levels to modulate neuronal properties (<CITED HERE>; Harris and Littleton, 2015; Menon et al., 2013).	background	train
This is in agreement with adult studies indicating elevated proportions of saturated fatty acids and reduced proportions of monounsaturated and polyunsaturated fat in abdominal as opposed to buttock depots (<CITED HERE>; Phinney et al, 1994; Schafer & Overvad, 1990).	result	val
These results are in line with previous reports which confirmed that phorbol esters can enhance the contractile response to EFS <CITED HERE>, however, these groups did not determine the sensitivity, and concentration-dependent relationship.	result	val
This classical finding (Nachmias and Sansbury, 1974; <CITED HERE>; Wilson, 1980) means that our ability to discriminate contrast is best around a non-zero contrast value, which is typically close to the detection threshold.	background	train
These PKC <CITED HERE> isoforms can be divided into the following three subgroups based on cofactor requirements: conventional PKCs (a, b, and g), which are dependent on Ca(21) and diacylglycerol (DAG) for activity; novel PKCs (d, e, h, and u), which are not dependent on Ca(21) but are activated by DAG; and atypical PKCs (z, l, and i), which are not dependent on Ca(21) and are not stimulated by DAG (7).	background	train
"The most common concepts used are the flipped classroom approach (Mason, Shuman, & Cook, 2013; <CITED HERE>; Prober & Khan, 2013; Strayer, 2012; Tucker, 2012) and the inverted classroom (Gannod, Burge, & Helmick, 2008; Mason et al., 2013; Strayer,
2012)."	background	val
"…(Xu, 1997, 2001b); (b) an adaptive algorithm for Gaussian factor analysis and a criterion for determining the dimension of
principal subspace (<CITED HERE>); (c) a learned parametric model for Independent Component Analysis (ICA) that works on sources mixed with super-Gaussian and subGaussian…"	method	train
<CITED HERE> used two types of Brassica napus (oilseed rape/canola), a conventional variety and a transgenic variety that expressed Bt toxin Cry1Ac.	method	val
Theoretical studies <CITED HERE> suggested that slowly growing immunogenic tumors that are sensitive to the immune response would engage regulatory T cell and induce tolerance to themselves, while poorly immunogenic, fast growing tumors would progress in a regulatory T cell independent manner.	background	train
Le taux des patientes perdues de vu varie dans la littérature entre 0 et 12% <CITED HERE> et il est le plus souvent inférieur à 4% [8-10,14,20,30].	background	train
To that end, the Internet intervention that successfully increased physical activity in the present study and previous research <CITED HERE> should be administered in a larger RCT that examines the possible secondary effects of increased physical activity on meaningful outcomes for persons with MS.	result	train
These results are in line with morphological abnormalities in a rabbit model of pneumococcal meningitis [8, 47], in neonatal and adult rat models <CITED HERE> and in human autopsy cases [20].	result	train
It was reported that ESCs may be short or long term cultivated on synthetic substrates in com mercial chemically defined media (Brafman et al., 2010; Mahlstedt et al., 2010; Higuchi et al., 2011; Lee et al., 2011; Nandivada et al., 2011; <CITED HERE>; Ueda et al., 2012).	background	train
Group living in African herpestids is particularly pronounced in relatively small-bodied species inhabiting open habitats for which predation risk is high (Waser 1981; Rood 1986; Clutton-Brock et al. 1999a; <CITED HERE>).	background	train
A hold latch must be inserted at the output of each scan flip-flop in order to implement an enhanced scan flip-flop <CITED HERE>.	method	train
, 2005); however, with longer periods (3 h) of IFN-γ exposure NF-κB binding to DNA was described <CITED HERE>.	background	train
To assay human p60/GST-procon80 heterodimers, taxolstabilized, tetra-methyl rhodamine-labeled microtubules were immobilized on coverslips by first perfusing flow cells with a mutant kinesin that binds strongly to microtubules but is unable to hydrolyze ATP (<CITED HERE>).	method	train
reast and the kidney and only few of these 82 cases are reported o be prostate carcinoma <CITED HERE>.	background	train
In the study, the PHQ-9 summary score ranged from 0 to 27 (α=0.92) <CITED HERE>b).	background	train
In present study, efficacy of CS alone in reduction of histological lesions was moderate which is in agreement with results already reported by <CITED HERE>.	result	train
Some of the classes in COLD-Saarb are labeled only for the EXT path and some only for one of the portions A or B (more details in Table I of (<CITED HERE>)).	background	val
2008), but researchers have since demonstrated that individual differences in baseline metabolic rate can persist over the lifetime of individuals <CITED HERE>.	background	train
2 × 8 mm) breath-hold 2D inversion recovery sequence in 14 ICM patients <CITED HERE>.	background	train
congolense <CITED HERE> suggested a complex evolution of PRAC genes in trypanosomes.	background	val
…one manifestation of the BRCA1–TONSL genetic interaction may well operate at sites of UV-induced damage, where both proteins are normally engaged in complex DNA damage responses (Duro et al. 2010; O’Connell et al. 2010; O’Donnell et al. 201<CITED HERE>010; Pathania et al. 2011).	background	train
Diffusion weighted imaging (DWI) revealed a higher apparent diffusion coefficient (ADC) in cortical tubers compared to normal-appearing brain, as well as higher ADC values in epileptogenic tubers in comparison to nonepileptogenic tubers <CITED HERE>.	background	train
Near infrared spectroscopy (NIRS) is a method of studying functional activation through monitoring changes in the haemodynamic properties of the brain <CITED HERE>.	method	train
Although a broad array of research is needed to identify such a threshold dose for reinforcement (e.g., <CITED HERE>; Grebenstein et al. 2015; Hatsukami et al. 2012; Hatsukami et al. 2013a; Hecht 2012), this dose likely is not lower than the threshold dose for discriminating nicotine’s…	background	val
This represents a decrease in the threshold in the UK for the introduction of biologics, which the BSR estimate will increase biologic use from 6 to 8–12 %, a potential doubling of current costs <CITED HERE>.	background	train
"Determination of <CITED HERE> analogues for temporally distinct samples has been used in other studies to detect population dynamics (Takami et al. 2004); although our data are limited, they do support the
N ."	result	train
phylogenetic relationships among taxa from several plant families <CITED HERE>.	background	train
The maximal aerobic power is a key physiological marker of middle distance running performance and is also considered a good performance predictor in heterogeneous, but not in homogeneous groups (<CITED HERE>).	background	train
Furthermore, the findings herein are in agreement with previous studies reporting a high intra-observer reproducibility of diastolic filling and LV mass measurements <CITED HERE>.	result	train
mentation models such as collision induced dissociation (CID) [133], electron transfer dissociation (ETD) [134], and electro capture dissociation (ECD) <CITED HERE>, which provides	background	train
Overall, the findings are consistent with our previous work (<CITED HERE>; Leonard et al., 1997a, 1997b) in demonstrating that RHD individuals can use context under conditions of reduced processing demands.	result	train
cresylglucuronide (pCG), p-cresylsulfate (pCS), indole-3acetic acid (IAA), and 3-carboxy-4-methyl-5-propyl-2-furanpropionic acid (CMPF) <CITED HERE>, all solutes of pathophysiological relevance.	background	train
Therefore, we generated a yeast strain in which Scp160p expression is under control of a repressible Tet-off operator, which allows rapid depletion of the protein on addition of doxycyclin <CITED HERE>.	method	val
[21] Bathymetric maps were generated for each Alvin dive, by merging vehicle navigation and attitude data with traveltimes recorded by the sonar through a series of Matlabk programs <CITED HERE>.	method	train
Furthermore, we previously showed that the increase of eIF2a phosphorylation induced by Sal 003, a specific inhibitor of its phosphatase, can elevate BACE1 protein levels in 6-month-old 5XFAD mice, which have not yet showed BACE1 upregulation consistent with only marginal changes in eIF2a phosphorylation <CITED HERE>.	background	train
There are two mechanisms by which rTMS can decrease cortical and corticospinal excitability <CITED HERE> while increasing rCBF (synaptic activity).	background	train
Interestingly, recent studies demonstrate that co-administration of L-DOPA with a neuroprotective agent that inhibits excitotoxicity, oxidative stress, and neuroinflammation reduces LID in animal models of PD (<CITED HERE>; Aron Badin et al., 2013).	background	train
Several assessed the appropriate monitoring frames to reliably estimate habitual physical behaviour intensities independently <CITED HERE>.	background	val
An understanding of the roles of food availability, vegetation cover, grazing intensity and burning on bird nesting success across management types (<CITED HERE>) bring us closer to understanding the overall effect of farming practices on birds in the system as compared to the conservation…	background	train
Instead they were identified directly from the Encyclopaedia Of DNA Elements Project [65], in which the α-globin cluster is one of the targeted regions <CITED HERE>.	background	train
Recently two novel actin-binding proteins found in mammalian neurons, neurabin I and II, have been shown to bind PP1c <CITED HERE>.	background	train
Due to its manageable behavior, Kademlia <CITED HERE> and its variant Kad use iterative routing in their design.	background	train
Recently, we identified Wnt5a as a novel factor, expressed by feeder cells and Sertoli cells, that supports SSC renewal <CITED HERE>.	background	train
To our surprise, but as noted in previous research <CITED HERE>, participants rarely if ever engaged in an activity on one device that they were interested in continuing on another, and expressed very little interest in the type of “hand-off” capability we suggested.	result	val
STAT activation is initially widespread, but must be dampened to produce an optimal number of invasive cells by stage 9 (Starz-Gaiano et al., 2008; <CITED HERE>; Monahan and Starz-Gaiano, 2013).	background	train
Attachment of phage F6 to the type IV pili of Pph is mediated by the viral attachment protein P3 <CITED HERE>.	background	train
In the study by <CITED HERE>, the results were adjusted for age, BMI, smoking and exercise, but not for family history.	background	train
Previously, it was reported that cofilin defects cause the failure of neural tube closure, and the loss of both cofilin and destrin results in the arrest of epithelial branching with F-actin accumulation in kidney organogenesis <CITED HERE>.	background	val
For example, Kanamycin sulfate treatment, causing complete loss of OHCs, with preservation of IHCs, results in threshold shifts of 40 dB and more in chinchillas (<CITED HERE>).	background	train
Intratumoral therapy of mice with glioma flank tumors The treatment regimen presented here was modeled after the methods developed by Oldfield and coworkers for Tf-CRM107 <CITED HERE>.	method	train
For example, our findings support the theoretically derived memory-based movement models of Van Moorter et al. (2009), <CITED HERE>, Spencer (2012) and Nabe-Nielsen et al. (2013), which all predict increased foraging efficiency compared to a forager without memory, and in most cases, an…	result	train
The basic T-tag suturing method, which had been first described in 2002 <CITED HERE>, was further developed during an Inventorama devoted solely to suturing; improvements to the articulating grasper resulted from the NOTES Toolbox event.	method	train
"Furthermore, hypercellular spindle cell areas resembling fibrosarcoma have been described in both SEF and LGFMS (Evans, 1987,
1993; <CITED HERE>; Antonescu et al., 2001)."	background	train
When simulating alternative initiation at a <CITED HERE> other than the canonical one, the scanning model of translation initiation was assumed (Kozak 1989).	method	train
"We assessed the following aspects of study quality:
 (1) Study design <CITED HERE>T, quasi-RCT, quasi-experimental
 study)
 (2) Method of allocating participants to trial arms (3) Concealment of allocation sequence from trial staff
 and from personnel who recruit participants into the trial (for RCTs)
 (4) Blinding of participants, program staff, and outcome
 assessors (we did not expect most studies in this field
 to blind participants and/or facilitators, as preliminary research suggests that these interventions often involve time and personal contact)
 (5) Baseline differences between trial arms, methods of
 controlling for differences in analyses
 (6) Attrition: percentage dropout at each follow-up,
 differential attrition between trial arms, and differences between dropouts and participants who are retained
 (7) Method of outcome assessment (e.g., ACASI, bio-
 markers, self-report)
 (8) Analytic procedures: Intention to treat, complete case,
 per-protocol, or treatment-on-the-treated
 We did not make any exclusions due to study quality, but instead report these aspects of methodological quality in the review."	method	train
The results support the conclusion that an increased mortality from lung cancer was observed among workers initially employed before 1955 in two soluble/mixed beryllium facilities (Lorain and Reading), but not among beryllium workers at any plant in 1955 or later, or those who worked at facilities that only processed insoluble forms of beryllium materials during any period <CITED HERE>.	result	train
The Division I players from the current study were older than the Division II players, however, all were within the typical range of collegiate soccer players documented in the literature <CITED HERE>.	background	train
A potential NarLbinding site in the arcD promoter (pDH11) was mutated using the crossover PCR technique (<CITED HERE>).	method	train
Based on the analysis of <CITED HERE>, we know that the number of old contents is the difference of two Poisson distribution and follows the Skellam distribution.	background	train
(A) Palmitoylation of mSpi would result in membrane association at both termini, whereas mSpiCS cannot be palmitoylated and remains free at its Nterminus. mSpiAG and mSpiCSAG contain mutations that prevent cleavage by <CITED HERE> (purple asterisks) (Strisovsky et al., 2009).	method	train
Several studies have shown that hypertension is a good predictor of RAS in patients with CAD or undergoing coronary angiography.<CITED HERE> However, in some studies, hypertension failed to predict the presence of RAS.	result	train
However, the major concern is regarding the safety of cultures that are consumed live in large quantities (<CITED HERE>).	background	train
Each of the individual components of the de novo Fe-S biosynthesis complex (Isu/Iscu, IscS and Isd11) has been proposed to be the molecular adaptor for frataxin interaction <CITED HERE>.	background	train
The regulation and localization of actin nucleation factors are likely critical for specifying the function of actin structures in cells <CITED HERE>.	background	train
In accordance with our results, several studies demonstrated increased serum levels of sTNF-≈í¬±R1 in the patients with chronic liver disea<CITED HERE>04), liver cirrhosis (von Baehr et al.	result	train
